garage_id,part_description,mapped_part_code,mapped_part_name,mapping_confidence,part_category,error_type,mapping_timestamp,is_error,mapping_source,processing_time
G0019,Front Light,P065,Headlight Right,84.59857034757444,Lighting,,2025-01-25 13:14:47.823200,False,AI Model,0.5973470337404063
G0020,Door Front Right,P007,Door Front Right,87.77091198827496,Body,,2025-01-25 08:17:47.823200,False,AI Model,1.5480607110908728
G0021,Door Front Left,P096,Door Front Left,97.85528819343125,Body,,2024-12-23 00:31:47.823200,False,AI Model,2.323670453895898
G0022,Front Headlamp,P034,Headlight Left,77.52721564425171,Lighting,,2024-12-09 03:51:47.823200,False,AI Model,4.384602490751769
G0023,Front Hood,P082,Hood,93.53938481610759,Body,,2025-02-06 23:44:47.823200,False,AI Model,0.7026019253575633
G0024,Hood Panel,P032,Hood,89.4076318166828,Body,,2025-01-07 19:54:47.823200,False,AI Model,2.05250318163764
G0025,Head Lamp,P014,Headlight Left,91.62722100879404,Lighting,,2025-01-28 12:10:47.823200,False,AI Model,1.8744719533517684
G0026,Engine Hood,P022,Hood,96.25323848100686,Body,,2025-02-07 12:48:47.823200,False,AI Model,2.7878062117752815
G0027,Fender Left,P058,Fender Left,92.16516627667271,Exterior,,2024-12-06 18:13:47.823200,False,AI Model,3.8523375594153446
G0028,Head Light Assembly,P055,Headlight Right,84.94528232533037,Lighting,,2025-01-02 22:30:47.823200,False,AI Model,1.4739587581420297
G0029,Door Front Right,P017,Door Front Right,90.98216966994298,Body,,2025-01-18 13:34:47.823200,False,AI Model,1.0675835266389861
G0030,Hood Panel,P032,Hood,70.48263042207066,Body,,2024-11-28 22:23:47.823200,False,AI Model,1.1519973869100633
G0031,Front Light,P074,Headlight Left,97.82020969989169,Lighting,,2024-12-17 15:28:47.823200,False,AI Model,0.5323940381662787
G0032,Rear Bumper Assembly,P091,Rear Bumper,91.88256844597454,Exterior,,2024-12-04 22:24:47.823200,False,AI Model,3.2580009298265353
G0033,Bumper-Front,P020,Front Bumper,93.81898540208857,Exterior,,2024-11-24 11:52:47.823200,False,AI Model,4.856548356863722
G0034,Rear Bumper Assy,P071,Rear Bumper,94.76308253314706,Exterior,,2025-01-05 19:59:47.823200,False,AI Model,3.9645799095997507
G0035,Fender Right,P079,Fender Right,96.74561365122011,Exterior,,2025-01-08 22:22:47.823200,False,AI Model,2.5244599480384737
G0036,Head Light Assembly,P074,Headlight Left,92.55568640847532,Lighting,,2024-12-31 23:48:47.823200,False,AI Model,3.9983590460055565
G0037,Head Lite,P085,Headlight Right,56.879406416481885,Lighting,Incorrect Naming,2024-11-24 20:40:47.823200,True,AI Model,2.6850821758156957
G0038,Fender Left,P028,Fender Left,86.29112745780262,Exterior,,2024-12-04 10:30:47.823200,False,AI Model,2.3392276111621895
G0039,Fender Left,P028,Fender Left,96.59164462936275,Exterior,,2025-01-20 09:47:47.823200,False,AI Model,2.5973269610975778
G0040,Front Glass,P013,Windshield,73.02258376624704,Glass,,2024-12-31 19:01:47.823200,False,AI Model,2.3794578302410283
G0041,Head Lamp,P035,Headlight Right,85.85427555277373,Lighting,,2024-12-06 05:31:47.823200,False,AI Model,4.114194492384643
G0042,Fender Right,P079,Fender Right,90.55187015252376,Exterior,,2024-11-29 05:07:47.823200,False,AI Model,4.35651816452101
G0043,Fender Left,P038,Fender Left,97.06734667058089,Exterior,,2024-12-17 08:46:47.823200,False,AI Model,1.5255926228336056
G0044,Head Lamp,P055,Headlight Right,88.58280573671323,Lighting,,2024-12-15 20:44:47.823200,False,AI Model,2.1350836428782936
G0045,Rear Bumper Assembly,P031,Rear Bumper,83.92871029393363,Exterior,,2024-12-31 15:53:47.823200,False,AI Model,0.7656163175166228
G0046,Bumper R,,,43.27723820693414,Exterior,Incorrect Naming,2025-02-10 04:55:47.823200,True,AI Model,4.714670771620733
G0047,Head Light Assembly,P054,Headlight Left,78.7242411947764,Lighting,,2025-01-28 17:17:47.823200,False,AI Model,1.995211616870208
G0048,Front Windshield,P063,Windshield,71.07507803864121,Glass,,2025-01-15 16:54:47.823200,False,AI Model,4.153958584081538
G0049,Windscreen,P073,Windshield,89.79019548613184,Glass,,2024-12-22 17:34:47.823200,False,AI Model,1.4870034232546638
G0050,Front Windshield,P063,Windshield,84.12051941114191,Glass,,2024-11-28 18:55:47.823200,False,AI Model,0.6064570641267935
G0051,Door Front Right,P037,Door Front Right,85.80497242995995,Body,,2025-01-06 09:09:47.823200,False,AI Model,3.095776201679913
G0052,Rear Bumper Assy,P061,Rear Bumper,87.504552724793,Exterior,,2025-02-07 04:07:47.823200,False,AI Model,3.486633470276149
G0053,Front Light,P034,Headlight Left,91.64817929463952,Lighting,,2024-12-10 14:57:47.823200,False,AI Model,1.0340694389844092
G0054,Front Bumper Assembly,P070,Front Bumper,72.1632555892297,Exterior,,2025-02-01 21:17:47.823200,False,AI Model,1.7455411467345792
G0055,Fender Left,P098,Fender Left,88.7687977172787,Exterior,,2025-02-09 07:17:47.823200,False,AI Model,4.096966157844516
G0056,Engine Hood,P052,Hood,78.04716083598281,Body,,2024-12-25 05:37:47.823200,False,AI Model,3.766802047789147
G0057,Frt Bumper,P070,Front Bumper,87.72820777600596,Exterior,,2025-02-12 00:59:47.823200,False,AI Model,2.9957343557561695
G0058,Fender Left,P028,Fender Left,97.44628133701879,Exterior,,2024-11-29 19:40:47.823200,False,AI Model,1.1027580493986067
G0059,Door Front Right,P037,Door Front Right,97.16766379591371,Body,,2024-11-28 02:30:47.823200,False,AI Model,0.8902161455017699
G0060,Head Light Assembly,P025,Headlight Right,81.05901997414897,Lighting,,2025-02-05 04:55:47.823200,False,AI Model,1.9955654009245212
G0061,Rear Bumper Assy,P011,Rear Bumper,73.4253136247748,Exterior,,2024-11-29 01:47:47.823200,False,AI Model,2.733901303513647
G0062,Front Window,P053,Windshield,58.37346253514559,Glass,Incorrect Naming,2025-01-19 01:06:47.823200,True,AI Model,4.12007609860064
G0063,Bumper-Rear,P041,Rear Bumper,94.85035197201347,Exterior,,2025-01-09 21:40:47.823200,False,AI Model,4.464732423900852
G0064,Head Lamp,P025,Headlight Right,84.67289897728688,Lighting,,2024-12-07 19:50:47.823200,False,AI Model,4.99892740323072
G0065,Front Lamp,,,33.94959542010343,Lighting,Incorrect Naming,2025-02-08 09:10:47.823200,True,AI Model,3.783403033955822
G0066,Head Lite,,,39.30038103779939,Lighting,Incorrect Naming,2024-12-28 21:05:47.823200,True,AI Model,1.090620562369833
G0067,Fender Left,P088,Fender Left,86.99094804891597,Exterior,,2024-11-18 00:42:47.823200,False,AI Model,2.622688005202642
G0068,Front Headlamp,P094,Headlight Left,95.64629742624517,Lighting,,2025-02-03 15:31:47.823200,False,AI Model,3.8740274041432183
G0069,Door Front Right,P057,Door Front Right,86.30867266541807,Body,,2024-12-09 00:26:47.823200,False,AI Model,1.4147436703635234
G0070,Door Front Left,P006,Door Front Left,83.48136550597569,Body,,2025-02-03 12:40:47.823200,False,AI Model,4.449250329971156
G0071,Door Front Left,P016,Door Front Left,83.929509072884,Body,,2025-01-04 14:47:47.823200,False,AI Model,1.9207466592562614
G0072,Fender Right,P029,Fender Right,84.72822073010614,Exterior,,2024-12-18 08:48:47.823200,False,AI Model,2.989299418575128
G0073,Front Light,P065,Headlight Right,89.62049461747587,Lighting,,2025-01-02 08:39:47.823200,False,AI Model,3.9033108437138915
G0074,Front Buffer,,,49.72058457026088,Exterior,Incorrect Naming,2024-11-17 03:24:47.823200,True,AI Model,1.9608580902489352
G0075,Head Light,P004,Headlight Left,56.93872532217834,Lighting,Incorrect Naming,2024-12-12 16:05:47.823200,True,AI Model,3.336775847115442
G0076,Front Lamp,,,42.51192543190827,Lighting,Incorrect Naming,2025-02-03 23:40:47.823200,True,AI Model,2.496069812497052
G0077,Back Bumper,P001,Rear Bumper,89.14480769154872,Exterior,,2025-02-12 11:37:47.823200,False,AI Model,1.2079546630663247
G0078,Front Glass,P033,Windshield,91.45232379316657,Glass,,2025-01-18 07:06:47.823200,False,AI Model,0.5624484524514486
G0079,Front Light,P044,Headlight Left,83.81905394706158,Lighting,,2024-11-17 03:35:47.823200,False,AI Model,4.9875201406634915
G0080,Door Front Left,P026,Door Front Left,93.27577520235926,Body,,2025-02-14 09:50:47.823200,False,AI Model,3.7801234416396317
G0081,Hood Panel,P032,Hood,95.48422000101662,Body,,2025-01-24 08:20:47.823200,False,AI Model,1.785809936109882
G0082,Rear Bumper Assembly,P021,Rear Bumper,90.5893682436558,Exterior,,2024-12-29 16:45:47.823200,False,AI Model,1.3458281308693785
G0083,Front Lamp,,,33.040859760037954,Lighting,Incorrect Naming,2024-12-31 09:25:47.823200,True,AI Model,0.8127728099768469
G0084,Windscreen,P013,Windshield,81.6757027588012,Glass,,2025-01-02 10:22:47.823200,False,AI Model,1.8730372109514697
G0085,Fender Left,P008,Fender Left,89.94635307189368,Exterior,,2025-01-10 12:19:47.823200,False,AI Model,0.9627934589037537
G0086,Front Hood,P072,Hood,98.58352719002488,Body,,2024-12-31 15:21:47.823200,False,AI Model,4.617870733770906
G0087,Wind Shield,P073,Windshield,92.50874087542726,Glass,,2025-02-01 06:21:47.823200,False,AI Model,3.5119937891869806
G0088,Head Lamp,P075,Headlight Right,88.75943575486997,Lighting,,2025-02-05 12:53:47.823200,False,AI Model,3.2027989312697276
G0089,Door Front Right,P027,Door Front Right,91.5534730393219,Body,,2024-12-28 21:34:47.823200,False,AI Model,3.2872894598729547
G0090,Fender Right,P039,Fender Right,96.72841341341707,Exterior,,2025-02-01 18:46:47.823200,False,AI Model,4.171245910418605
G0091,Front Windshield,P073,Windshield,74.37057989564201,Glass,,2024-12-05 14:47:47.823200,False,AI Model,2.5185457620396097
G0092,Hood Panel,P012,Hood,96.3328442311602,Body,,2025-01-18 00:16:47.823200,False,AI Model,3.8523976024784288
G0093,Fender Left,P098,Fender Left,92.31444411410445,Exterior,,2024-12-09 04:34:47.823200,False,AI Model,0.7560688511282911
G0094,Front Glass,P053,Windshield,85.19615369711566,Glass,,2025-01-22 23:55:47.823200,False,AI Model,4.42972878350547
G0095,Fender Right,P029,Fender Right,95.10044831185452,Exterior,,2024-12-13 10:52:47.823200,False,AI Model,2.4645214453080504
G0096,Wind Shield,P023,Windshield,83.80399795173321,Glass,,2025-01-17 04:35:47.823200,False,AI Model,0.6084024248004342
G0097,Fender Right,P069,Fender Right,91.2893737812447,Exterior,,2025-01-05 06:42:47.823200,False,AI Model,4.752433082402167
G0098,Front Bumper Assy,P020,Front Bumper,76.28330898690918,Exterior,,2024-12-31 09:15:47.823200,False,AI Model,4.541383791520876
G0099,Door Front Right,P017,Door Front Right,91.23499526388127,Body,,2024-12-15 23:22:47.823200,False,AI Model,3.9519793455112766
G0100,Door Front Right,P057,Door Front Right,98.44037619466971,Body,,2025-02-14 08:03:47.823200,False,AI Model,4.226528053548637
G0101,Front Bumper Assembly,P030,Front Bumper,79.94995696528315,Exterior,,2024-12-13 22:41:47.823200,False,AI Model,3.7190916576764486
G0102,Frt Bumper,P040,Front Bumper,77.87659601951064,Exterior,,2025-01-19 00:36:47.823200,False,AI Model,0.9664428609852099
G0103,Wind Shield,P053,Windshield,79.19721280021663,Glass,,2025-02-01 05:58:47.823200,False,AI Model,2.85280865470076
G0104,Windshild,P093,Windshield,50.56935084528144,Glass,Incorrect Naming,2024-12-14 11:29:47.823200,True,AI Model,1.379627555295319
G0105,Door Front Right,P027,Door Front Right,92.18747478623142,Body,,2025-01-20 01:03:47.823200,False,AI Model,3.3870505760910206
G0106,Fender Right,P079,Fender Right,84.23557658025139,Exterior,,2025-01-02 06:06:47.823200,False,AI Model,3.116297347028736
G0107,Engine Hood,P042,Hood,92.54241364377971,Body,,2025-02-13 17:18:47.823200,False,AI Model,4.875858124064118
G0108,Door Front Left,P046,Door Front Left,88.49198370992987,Body,,2025-01-08 12:35:47.823200,False,AI Model,2.6518573273379284
G0109,Door Front Right,P057,Door Front Right,88.33581025111711,Body,,2025-01-26 06:20:47.823200,False,AI Model,2.9834857120410723
G0110,Rear Bumper Assembly,P081,Rear Bumper,71.12052044288926,Exterior,,2025-02-12 22:41:47.823200,False,AI Model,3.3780673787385047
G0111,Door Front Right,P097,Door Front Right,94.9921309127141,Body,,2024-11-26 14:42:47.823200,True,AI Model,2.7782088345143716
G0112,Rear Bumper Assembly,P031,Rear Bumper,71.07084456348417,Exterior,,2024-11-18 00:43:47.823200,False,AI Model,1.9884185767971676
G0113,Head Lamp,P085,Headlight Right,96.80190859011884,Lighting,,2025-01-04 01:04:47.823200,False,AI Model,1.5102226004090844
G0114,Door Front Left,P096,Door Front Left,94.5441550468904,Body,,2025-01-07 09:27:47.823200,True,AI Model,4.829019947343411
G0115,Fender Left,P038,Fender Left,86.45364510625261,Exterior,,2025-02-15 09:16:47.823200,False,AI Model,0.9439672449609944
G0116,Fender Left,P098,Fender Left,84.97137105147634,Exterior,,2025-01-25 10:09:47.823200,True,AI Model,2.390454174741424
G0117,Door Front Left,P036,Door Front Left,82.0773044596818,Body,,2024-11-26 21:33:47.823200,False,AI Model,1.9533867519741583
G0118,Door Front Left,P016,Door Front Left,91.98025516751603,Body,,2025-02-11 16:08:47.823200,False,AI Model,4.309894127837213
G0119,Bumper-Front,P000,Front Bumper,99.36623578511517,Exterior,,2024-12-28 12:28:47.823200,False,AI Model,1.5532776226352543
G0120,Frt Bumper,P060,Front Bumper,87.04105958429382,Exterior,,2024-12-26 01:58:47.823200,False,AI Model,0.7780333298472808
G0121,Wind Shield,P093,Windshield,91.15303064970728,Glass,,2025-01-31 00:35:47.823200,False,AI Model,1.761521252584854
G0122,Bonit,,,31.369144843698013,Body,Incorrect Naming,2025-01-28 15:15:47.823200,True,AI Model,2.700379111202287
G0123,Fender Right,P019,Fender Right,91.13685534287333,Exterior,,2024-12-14 07:04:47.823200,False,AI Model,1.7219442708102486
G0124,Bumper-Rear,P031,Rear Bumper,83.82188734538553,Exterior,,2025-02-04 02:07:47.823200,False,AI Model,2.7021116018937397
G0125,Back Bumper,P091,Rear Bumper,98.88496181513392,Exterior,,2025-01-09 06:44:47.823200,False,AI Model,1.042920152072312
G0126,Front Bumper Assembly,P050,Front Bumper,78.24864681566501,Exterior,,2025-01-31 10:18:47.823200,False,AI Model,1.1405706355813745
G0127,Head Light Assembly,P014,Headlight Left,71.48151657836748,Lighting,,2024-12-04 13:33:47.823200,False,AI Model,3.4005594303431352
G0128,Front Window,,,31.08044064261024,Glass,Incorrect Naming,2025-01-03 20:30:47.823200,True,AI Model,4.307541499002799
G0129,Back Bumper,P051,Rear Bumper,76.58525705852635,Exterior,,2024-11-26 21:39:47.823200,False,AI Model,4.229102965615713
G0130,Head Lamp,P064,Headlight Left,95.97445675546093,Lighting,,2025-01-15 12:54:47.823200,False,AI Model,0.604247532719697
G0131,Rear Bumper Assy,P061,Rear Bumper,78.5327979956938,Exterior,,2025-01-16 06:20:47.823200,False,AI Model,4.031706063212797
G0132,Fender Right,P069,Fender Right,96.34191708779917,Exterior,,2024-12-11 01:06:47.823200,False,AI Model,0.6926537705397285
G0133,Front Headlamp,P045,Headlight Right,74.84991109432629,Lighting,,2025-02-06 16:27:47.823200,False,AI Model,1.088456929669325
G0134,Front Bumper Assy,P020,Front Bumper,90.18483688757479,Exterior,,2025-02-10 15:27:47.823200,False,AI Model,4.284927192692207
G0135,Rear Bumper Assy,P011,Rear Bumper,89.1713529701806,Exterior,,2024-12-17 17:13:47.823200,False,AI Model,2.6439593675931787
G0136,Head Lamp,P064,Headlight Left,81.96358723977194,Lighting,,2025-02-10 17:29:47.823200,False,AI Model,4.394862847519375
G0137,Engine Hood,P032,Hood,81.04445781502505,Body,,2025-01-28 21:45:47.823200,False,AI Model,2.171400842748124
G0138,Head Lamp,P015,Headlight Right,85.56898704736665,Lighting,,2024-12-21 16:50:47.823200,False,AI Model,4.480433869598631
G0139,Fender Right,P079,Fender Right,82.23271932478582,Exterior,,2025-01-09 20:42:47.823200,True,AI Model,4.117415599569399
G0140,Back Bumper,P051,Rear Bumper,91.16542253356505,Exterior,,2024-12-15 21:36:47.823200,False,AI Model,2.588741597994356
G0141,Door Front Left,P086,Door Front Left,89.74508854881769,Body,,2024-12-21 06:26:47.823200,True,AI Model,2.398360240229721
G0142,Bumper-Front,P080,Front Bumper,96.34474501451996,Exterior,,2024-12-19 17:52:47.823200,False,AI Model,1.0114258915038283
G0143,Bumper-Front,P010,Front Bumper,73.43101982538953,Exterior,,2024-12-12 17:51:47.823200,False,AI Model,4.943408864058822
G0144,Door Front Left,P096,Door Front Left,85.6782337805436,Body,,2024-11-24 12:50:47.823200,True,AI Model,3.337115270768529
G0145,Door Front Left,P096,Door Front Left,93.6852224411302,Body,,2024-12-14 13:25:47.823200,False,AI Model,4.049219832789753
G0146,Front Headlamp,P044,Headlight Left,72.15048680482965,Lighting,,2024-11-24 22:05:47.823200,False,AI Model,4.111243782569632
G0147,Fender Left,P078,Fender Left,85.77337824215769,Exterior,,2024-11-27 11:40:47.823200,False,AI Model,2.3020510780872288
G0148,Fender Left,P078,Fender Left,80.43754422018891,Exterior,,2025-01-25 07:08:47.823200,False,AI Model,4.026890543277741
G0149,Door Front Right,P017,Door Front Right,83.28868325377857,Body,,2025-01-20 02:29:47.823200,False,AI Model,1.381387449620112
G0150,Windshild,,,45.565361993500765,Glass,Incorrect Naming,2025-02-09 22:29:47.823200,True,AI Model,2.080165687741102
G0151,Front Bumper Assembly,P020,Front Bumper,97.05595202788999,Exterior,,2025-01-31 11:43:47.823200,False,AI Model,1.0622468065656439
G0152,Rear Bumper Assembly,P001,Rear Bumper,86.20847726421931,Exterior,,2025-01-16 17:21:47.823200,False,AI Model,2.6497868248832375
G0153,R Bumper,,,33.428580833603206,Exterior,Incorrect Naming,2024-11-30 09:13:47.823200,True,AI Model,4.4851424769960655
G0154,Front Glass,P083,Windshield,82.60255513095328,Glass,,2024-11-23 07:29:47.823200,False,AI Model,2.6295377265024404
G0155,Fender Left,P098,Fender Left,85.01471205952242,Exterior,,2024-12-10 20:48:47.823200,False,AI Model,1.5929845027833243
G0156,Head Light Assembly,P094,Headlight Left,72.28577346172207,Lighting,,2024-12-02 17:20:47.823200,False,AI Model,1.3991128507666253
G0157,Bumper-Rear,P081,Rear Bumper,90.39651987797397,Exterior,,2024-12-05 13:10:47.823200,False,AI Model,4.186731535491051
G0158,Bumper-Rear,P011,Rear Bumper,89.60638675168012,Exterior,,2024-11-28 13:59:47.823200,False,AI Model,1.9665112083616862
G0159,Bumper R,P091,Rear Bumper,56.530321473287216,Exterior,Incorrect Naming,2024-12-03 17:49:47.823200,True,AI Model,2.606009280051596
G0160,R Bumper,,,47.193367750073875,Exterior,Incorrect Naming,2025-01-01 02:44:47.823200,True,AI Model,4.528987896289844
G0161,Front Light,P075,Headlight Right,79.75887566415327,Lighting,,2025-01-28 15:59:47.823200,False,AI Model,1.142843608785888
G0162,Bumper-Rear,P021,Rear Bumper,81.0328947818544,Exterior,,2025-01-21 15:30:47.823200,False,AI Model,1.8336673558022762
G0163,Windshild,,,45.19292112651719,Glass,Incorrect Naming,2024-12-06 17:16:47.823200,True,AI Model,4.787801409766702
G0164,Front Bumper Assembly,P080,Front Bumper,75.7497587009806,Exterior,,2025-01-23 07:58:47.823200,False,AI Model,1.3176591332666423
G0165,Engine Hood,P092,Hood,78.01782886655742,Body,,2024-12-11 03:55:47.823200,False,AI Model,4.314571087754088
G0166,Head Light,,,47.77623197856424,Lighting,Incorrect Naming,2024-12-07 19:25:47.823200,True,AI Model,4.773420407616838
G0167,Bumper-Front,P000,Front Bumper,78.43930192090535,Exterior,,2025-01-24 03:50:47.823200,False,AI Model,3.023022438441876
G0168,Head Light Assembly,P034,Headlight Left,98.2500901715221,Lighting,,2025-02-01 14:46:47.823200,False,AI Model,2.8458132712858255
G0169,Bumper-Rear,P011,Rear Bumper,92.21413608560779,Exterior,,2024-12-11 03:44:47.823200,False,AI Model,1.1045549877324183
G0170,Door Front Right,P007,Door Front Right,87.6023716251198,Body,,2025-01-28 00:48:47.823200,False,AI Model,2.481025185312909
G0171,Front Hood,P092,Hood,97.38921453548414,Body,,2024-12-15 02:11:47.823200,False,AI Model,1.2693543842881936
G0172,Front Bumper Assy,P060,Front Bumper,96.766273298942,Exterior,,2024-12-21 19:08:47.823200,False,AI Model,1.1794617135874756
G0173,Back Bumper,P081,Rear Bumper,83.206828878252,Exterior,,2024-12-13 11:36:47.823200,False,AI Model,1.445220293692114
G0174,Door Front Right,P047,Door Front Right,83.59314856159628,Body,,2024-11-28 11:13:47.823200,False,AI Model,1.4352190144685848
G0175,Door Front Left,P036,Door Front Left,90.73516479820547,Body,,2024-11-25 00:17:47.823200,False,AI Model,4.149948058901769
G0176,Door Front Right,P007,Door Front Right,83.47994129014054,Body,,2024-11-18 19:43:47.823200,False,AI Model,0.8269358178845646
G0177,Fender Left,P048,Fender Left,89.57703335543691,Exterior,,2024-12-17 16:58:47.823200,False,AI Model,3.826068514400558
G0178,Front Light,P095,Headlight Right,73.55851606804454,Lighting,,2025-02-15 17:40:47.823200,False,AI Model,3.1840644546031918
G0179,Windscreen,P013,Windshield,78.56253908258827,Glass,,2025-01-29 20:14:47.823200,False,AI Model,4.5338919353038
G0180,Front Windshield,P023,Windshield,94.44062930054854,Glass,,2024-12-09 22:02:47.823200,False,AI Model,1.8025211912784607
G0181,Door Front Left,P066,Door Front Left,91.04581121128003,Body,,2024-11-27 04:43:47.823200,False,AI Model,4.33990889635901
G0182,Engine Cover,,,34.26250033975271,Body,Incorrect Naming,2024-12-08 11:46:47.823200,True,AI Model,2.8426771613614648
G0183,Head Lamp,P094,Headlight Left,73.35576039237696,Lighting,,2024-11-30 06:13:47.823200,False,AI Model,2.0841368828923157
G0184,Fender Left,P048,Fender Left,87.83745951867098,Exterior,,2024-12-11 02:07:47.823200,False,AI Model,1.2646758105328708
G0185,Back Bumper,P091,Rear Bumper,80.54814372727631,Exterior,,2025-01-29 10:36:47.823200,False,AI Model,4.051296584970288
G0186,Door Front Right,P057,Door Front Right,97.57924936204554,Body,,2025-01-14 15:47:47.823200,False,AI Model,0.8397055199880983
G0187,Bonnet,P012,Hood,87.90026754733626,Body,,2025-01-09 17:04:47.823200,False,AI Model,2.6714041430379463
G0188,Front Light,P035,Headlight Right,73.9007271225219,Lighting,,2024-12-02 04:15:47.823200,False,AI Model,0.5934358397083139
G0189,Back Bumper,P031,Rear Bumper,71.986453491056,Exterior,,2024-11-19 11:43:47.823200,False,AI Model,4.893555597577149
G0190,Fender Right,P079,Fender Right,86.32303153831872,Exterior,,2025-02-13 11:22:47.823200,False,AI Model,1.1252596833040844
G0191,Head Lamp,P055,Headlight Right,73.50803007677509,Lighting,,2024-12-07 17:42:47.823200,False,AI Model,2.8691459195794993
G0192,Head Light Assembly,P054,Headlight Left,77.7993600941684,Lighting,,2025-02-10 19:12:47.823200,False,AI Model,4.043949059578757
G0193,Fender Right,P029,Fender Right,84.23838643097386,Exterior,,2024-12-24 21:37:47.823200,True,AI Model,1.131460429028421
G0194,Door Front Left,P046,Door Front Left,91.21788851057468,Body,,2025-01-19 23:48:47.823200,False,AI Model,2.2320522364429594
G0195,Fender Right,P059,Fender Right,87.2382680052225,Exterior,,2024-12-22 05:52:47.823200,False,AI Model,0.6900231191622288
G0196,Front Light,P085,Headlight Right,72.37413602185224,Lighting,,2025-01-17 15:32:47.823200,False,AI Model,1.2608886694995398
G0197,Door Front Right,P067,Door Front Right,87.33988165777907,Body,,2025-01-06 19:56:47.823200,True,AI Model,4.241349351929018
G0198,Bumper F,,,38.58967473825448,Exterior,Incorrect Naming,2024-11-24 15:48:47.823200,True,AI Model,1.2341086123350167
G0199,Rear Bumper Assy,P021,Rear Bumper,77.34462503127845,Exterior,,2024-12-25 00:20:47.823200,False,AI Model,4.142315094045595
G0200,Front Headlamp,P044,Headlight Left,77.71472821701285,Lighting,,2025-02-11 07:22:47.823200,False,AI Model,4.892798515837471
G0201,Door Front Right,P077,Door Front Right,85.69390232283568,Body,,2025-01-05 08:49:47.823200,False,AI Model,2.1633959834638796
G0202,Front Bumper Assembly,P090,Front Bumper,90.75073844799817,Exterior,,2025-02-03 21:45:47.823200,False,AI Model,2.373169055023963
G0203,Front Hood,P032,Hood,89.45966278272145,Body,,2024-12-23 01:29:47.823200,False,AI Model,2.05017537825474
G0204,Rear Bumper Assy,P011,Rear Bumper,80.36461055731155,Exterior,,2024-12-09 08:13:47.823200,False,AI Model,1.0871773028048102
G0205,Door Front Left,P036,Door Front Left,80.15392933247259,Body,,2025-01-21 02:39:47.823200,False,AI Model,4.9226476217019774
G0206,Door Front Left,P096,Door Front Left,90.37953030777373,Body,,2024-12-17 16:14:47.823200,False,AI Model,0.7948445836658504
G0207,Door Front Left,P086,Door Front Left,96.41389316446612,Body,,2025-01-24 20:55:47.823200,True,AI Model,2.8260430481112966
G0208,Hood Panel,P082,Hood,81.9672510107338,Body,,2024-11-27 01:56:47.823200,False,AI Model,0.852098587461948
G0209,Front Headlamp,P054,Headlight Left,90.6012226887032,Lighting,,2024-12-13 02:25:47.823200,False,AI Model,2.029806852066063
